#ItemName|Amount
painkillers|5
vitamins|5
bloodBag|5
firstAidKit|3
firstAidBandage|5
bandage|5
aloeCream|5
herbalAntibiotics|3
antibiotics|3
foodHoney|5
foodYuccaFruit|5
foodYuccaJuice|5
canBeef|3
canChicken|3
canLamb|3
canDogfood|3
canCatfood|3
canChili|3
canMiso|3
canPasta|3
canPeas|3
canPears|3
canSoup|3
canStock|3
canTuna|3
canHam|3
canSalmon|3
corn|5
cornOnTheCob|5
cornBread|5
moldyBread|5
shamSandwich|5
rawMeat|5
rottingFlesh|5
meatStew|2
potato|5
blueberries|5
egg|5
blueberryPie|2
baconAndEggs|2
mushrooms|5
vegetableStew|2
bottledWater|5
goldenRodTea|5
redTea|5
coffee|5
beer|5
grainAlcohol|6
