#SteamId|X|Y|Z
76561198031607938|-263.6|132.1|19
76561198058860200|-365.2|110.1|0.1
76561198064133964|-76.1|110.1|294.1
76561198203572140|469.1|35.2|-1528.6
76561197965840565|-5223|61.1|-2478.2
76561198005596761|1949.7|93.1|-1673.9
76561197998175103|2113|116|-1293
76561198066613807|4554.4|104.4|-1809.5
76561198044721427|1451.8|38.1|3648.2
76561198286088090|1156.8|55.1|2518.6
76561198039361067|32.3|32.1|-3161
76561198083734769|1712.3|92.1|-3459.3
76561198051197480|4298.1|118.1|-1171.8
76561198120696812|1757.3|105.1|-3756.4
76561198018810644|1576.8|38.1|1469.5
76561198120083474|4371.1|110.1|-1532.5
76561198114051638|1673.5|104.1|-3714
76561198093741732|184.6|34.1|-1617.7
76561198189165325|937.6|20.1|2952
76561198195280319|-5026.3|51.1|-1990.8
76561198128401410|345.2|35.1|-1682.6
76561198119659298|-5009.4|57.1|-2355.3
76561198059217834|-5009.2|57.1|-2355
76561198119377761|-5007.6|57.1|-2357.3
76561198047880606|79.6|126.1|6280.1
76561198043765069|1425.8|34.1|1475.3
76561198191114205|937.8|73.1|2953.6
76561198135505697|-5203.8|118.1|-4926.5
76561198096667851|73.2|125.1|6278
76561197961901216|-8|101.2|3831.5
76561198035592720|-5211.5|62.1|1288.8
76561198046609635|-4910.2|102.1|1637.1
76561198137243520|-4917.5|102.1|1637.1
76561198051685245|-4880.2|99.8|1634.4
76561198058522376|2014.8|124.6|-837.8
76561198059650329|9519.5|42.1|77.4
76561198294728950|-797.9|121.1|-249.9
76561198145337059|2050.2|32.1|1390.9
76561198014729954|377.3|34.7|-1458.9
76561198003465382|2051.8|32.1|1390.1
76561197971854743|1287.6|22.2|3738.4
76561197969031888|1286|23|3738.5
76561198002561214|4063.8|106.1|-1537.8
76561198016539114|2115.2|116.1|-1294.9
76561198055041232|-5019|88.1|1228.7
76561198023463064|1596.6|116.1|-113.3
76561198172609817|1894.7|90.1|-3910.6
76561198093879915|-5031.1|145.1|-5369.6
76561197995790660|1275.5|90.1|1748.8
76561198052297011|4044.6|91.1|-1949.5
76561198051110727|-667.6|116.6|3648.2
76561198010354156|662.5|123.2|-381.5
76561197963526950|458.3|164.1|-77.8
