#SteamId|X|Y|Z
76561197965840565|861|74.1|1133.8
76561198064133964|-193.7|109.1|233.3
76561198031607938|-258.5|108.1|-19.8
76561198066613807|4363.3|94.1|-1407.6
76561198039361067|137.1|127.1|3791.2
76561198286088090|498.8|88|2956.9
76561198005596761|4539.8|115.1|-1644.5
76561198093741732|1374.8|106.7|-666.4
76561198128401410|345.2|35.1|-1682.6
76561198120083474|4295.5|118.5|148.1
76561198191114205|941.5|20.1|2750.4
76561198135505697|-5205|106.1|-4955.9
76561198043765069|1412|57.1|1599.2
76561198195280319|-4534.3|44.1|-1387.3
76561198047880606|151.7|49.1|-1679.8
76561198096667851|152.8|38.1|-1679.8
76561198014729954|150.8|43.1|-1680.3
76561197998175103|-1880.6|29.1|-1798.2
76561198002561214|-29.5|31.1|-2194.2
76561198016539114|7438.7|110.6|-1717.8
76561197971854743|3800.7|115.1|263.7
76561198012506215|2235.5|95.1|114.8
76561198093879915|-5033.7|3.1|-5372.2
76561198120696812|2084.8|131.1|-1348.3
76561198023463064|1286.4|121.3|-223.6
76561198059650329|9208.7|89.5|517.2
76561198189165325|940.3|20.1|2750.1
76561198044721427|769.7|69.1|4249.9
76561197969031888|-8413.5|61|-1305.8
76561198145337059|-431.9|109.1|17.9
76561198035592720|8747.5|117.6|-3437.1
76561197995790660|1273.1|3.1|1748.2
76561198051110727|-614.8|115.9|3652.8
76561197963526950|2114.2|116.1|-1308.5
76561198018810644|1921.6|95.4|-3860.4
