#SteamId|X|Y|Z
76561198047880606|1523.7|32.8|3045
76561198096667851|166.8|33.4|-1687.9
76561198115656060|-5273.8|126.1|-5239
76561198058522376|2056.1|-15615.9|311.1
76561198014729954|402.9|35.3|-1455.1
76561197978885254|-1136.1|81.8|-355.2
76561198003465382|2040.5|31.1|1390.6
76561198113928319|-3.6|108.1|93.3
76561197965840565|-4824.3|62.1|-2799.1
76561198012506215|2306.1|4.1|2120.2
76561198294728950|-39.7|109.1|81.2
76561198286088090|501.5|93|2949.7
76561197971854743|-4936|56.1|-2656.4
76561198191114205|938.1|73.1|2953.3
76561198067392156|2305.1|4.1|2120.3
76561198130512780|-4909.1|106.1|1638.8
76561198046609635|2308|4.1|2117.5
76561198059650329|9474.1|87.1|165.7
76561198137243520|-4922.4|100.4|1606
76561198277700576|-93|109.2|310.6
76561197972817615|4088.7|107.3|-1524.3
76561198172609817|24.8|109.1|-213.6
76561198093879915|-5270|126.3|-5258.3
76561198023463064|-74.5|35.2|-671.8
76561198010354156|2059.5|130.5|-2037.4
76561198135505697|-5204.5|118.1|-4922.7
76561198051685245|-5018.8|100.2|1937.9
76561197969031888|940.3|77.2|1432.8
76561198114051638|-44.6|110.1|75.3
76561198044721427|1817.8|33.1|2559.9
76561198145337059|-355.9|109.1|349.5
76561198195280319|54.8|116.1|4236.4
76561198052297011|2305.7|4.1|2121
76561198035592720|-5206.9|62.1|1294
76561198055041232|9.5|115.1|-200.2
76561197995790660|1272.4|3.1|1747.8
76561198173746146|-1834.1|72.2|-1866.3
76561198043765069|1427.4|26.1|1479.3
76561198002561214|-345.5|108.1|93.7
76561197961901216|71|131.1|3867
76561198016539114|456.1|164.1|-70.9
76561197998175103|-671.2|117.1|3648.6
76561198018810644|944.3|21.1|2939.7
76561198051110727|940.3|20.1|2750.2
76561198120696812|1981.7|97.5|-3979.3
76561197963526950|-261|108.1|-144.3
76561198189165325|939.9|20.1|2749.7
